form,word
a,able
a,abnormal
a,absent
a,absolute
a,abstract
a,abundant
a,academic
a,acceptable
a,accessible
a,accurate
a,active
a,acute
a,addicted
a,adequate
a,aesthetic
a,afraid
a,aggressive
a,agile
a,agricultural
a,alert
a,alive
a,aloof
a,amber
a,ambiguous
a,ambitious
a,ample
a,angry
a,annual
a,anonymous
a,applied
a,appropriate
a,arbitrary
a,archaeological
a,arrogant
a,artificial
a,artistic
a,ashamed
a,asleep
a,assertive
a,astonishing
a,attractive
a,automatic
a,available
a,awake
a,aware
a,awful
a,awkward
a,bad
a,bad
a,bad
a,balanced
a,bald
a,bare
a,basic
a,beautiful
a,bitter
a,bitter
a,black
a,black
a,bland
a,blank
a,blind
a,blonde
a,bloody
a,bold
a,brave
a,broken
a,brown
a,bureaucratic
a,busy
a,capable
a,careful
a,cautious
a,central
a,certain
a,characteristic
a,charismatic
a,cheap
a,cheerful
a,childish
a,chronic
a,civic
a,civilian
a,classical
a,clean
a,clear
a,clear
a,close
a,close
a,closed
a,cold
a,cold
a,color-blind
a,colorful
a,comfortable
a,commercial
a,common
a,common
a,common
a,comparable
a,compatible
a,competent
a,competitive
a,complete
a,complex
a,comprehensive
a,concrete
a,confident
a,conscious
a,conservative
a,considerable
a,consistent
a,constant
a,constant
a,constitutional
a,constructive
a,content
a,continental
a,continuous
a,controversial
a,convenient
a,conventional
a,cool
a,cool
a,cooperative
a,corporate
a,critical
a,critical
a,critical
a,crude
a,crude
a,cruel
a,cultural
a,curious
a,current
a,cute
a,daily
a,dangerous
a,dark
a,dead
a,deadly
a,deaf
a,decisive
a,decorative
a,deep
a,definite
a,delicate
a,delicate
a,democratic
a,dependent
a,desirable
a,different
a,difficult
a,digital
a,diplomatic
a,direct
a,dirty
a,dirty
a,discreet
a,distant
a,distinct
a,domestic
a,domestic
a,dominant
a,dramatic
a,dry
a,due
a,dull
a,dull
a,dynamic
a,eager
a,early
a,easy
a,economic
a,educational
a,effective
a,efficient
a,electronic
a,elegant
a,eligible
a,articulate
a,emotional
a,empirical
a,empty
a,encouraging
a,enjoyable
a,enthusiastic
a,environmental
a,equal
a,essential
a,established
a,eternal
a,ethical
a,ethnic
a,even
a,even
a,exact
a,excited
a,exciting
a,exclusive
a,exotic
a,exotic
a,expected
a,expensive
a,experienced
a,experimental
a,explicit
a,express
a,external
a,extinct
a,extraordinary
a,fair
a,faithful
a,false
a,familiar
a,far
a,fashionable
a,fast
a,fastidious
a,fat
a,favorable
a,federal
a,feminine
a,financial
a,fine
a,finished
a,finished
a,first
a,first-hand
a,flat
a,flawed
a,flexible
a,foolish
a,formal
a,forward
a,fragrant
a,frank
a,free
a,free
a,free
a,frequent
a,fresh
a,fresh
a,friendly
a,frozen
a,full
a,full
a,full-time
a,functional
a,funny
a,general
a,generous
a,genetic
a,genuine
a,geological
a,glad
a,glorious
a,good
a,good
a,gradual
a,grand
a,graphic
a,graphic
a,grateful
a,great
a,great
a,green
a,gregarious
a,handy
a,happy
a,hard
a,harmful
a,harsh
a,healthy
a,heavy
a,helpful
a,helpless
a,high
a,hilarious
a,historical
a,holy
a,homosexual
a,honest
a,honorable
a,horizontal
a,hostile
a,hot
a,hot
a,huge
a,human
a,hungry
a,ignorant
a,illegal
a,immune
a,imperial
a,implicit
a,important
a,impossible
a,impressive
a,inadequate
a,inappropriate
a,incapable
a,incongruous
a,incredible
a,independent
a,indigenous
a,indirect
a,indoor
a,industrial
a,inevitable
a,infinite
a,influential
a,informal
a,inner
a,innocent
a,insufficient
a,integrated
a,intellectual
a,intense
a,interactive
a,interesting
a,intermediate
a,internal
a,international
a,invisible
a,irrelevant
a,jealous
a,joint
a,judicial
a,junior
a,just
a,kind
a,large
a,last
a,late
a,latest
a,lazy
a,left
a,legal
a,legislative
a,liberal
a,light
a,light
a,light
a,likely
a,limited
a,linear
a,liquid
a,literary
a,live
a,lively
a,logical
a,lonely
a,long
a,long
a,loose
a,lost
a,lost
a,loud
a,low
a,depressed
a,loyal
a,lucky
a,magnetic
a,main
a,major
a,major
a,manual
a,marine
a,married
a,mathematical
a,mature
a,mature
a,maximum
a,meaningful
a,mechanical
a,medieval
a,memorable
a,mental
a,middle-class
a,mild
a,military
a,minimum
a,minor
a,miserable
a,mobile
a,modern
a,modest
a,molecular
a,monstrous
a,monstrous
a,monthly
a,moral
a,moving
a,multiple
a,municipal
a,musical
a,mutual
a,narrow
a,narrow
a,national
a,native
a,necessary
a,negative
a,negative
a,nervous
a,nervous
a,neutral
a,new
a,new
a,nice
a,noble
a,noble
a,noisy
a,normal
a,notorious
a,nuclear
a,obese
a,objective
a,obscure
a,obvious
a,occupational
a,odd
a,offensive
a,offensive
a,official
a,old
a,open
a,open
a,operational
a,opposed
a,optimistic
a,optional
a,oral
a,ordinary
a,organic
a,original
a,orthodox
a,other
a,outer
a,outside
a,painful
a,parallel
a,paralyzed
a,parental
a,particular
a,particular
a,part-time
a,passionate
a,passive
a,past
a,patient
a,peaceful
a,perfect
a,permanent
a,persistent
a,personal
a,petty
a,philosophical
a,physical
a,plain
a,pleasant
a,polite
a,political
a,poor
a,popular
a,portable
a,positive
a,possible
a,powerful
a,practical
a,practical
a,precise
a,predictable
a,pregnant
a,premature
a,present
a,present
a,presidential
a,primary
a,private
a,privileged
a,productive
a,professional
a,profound
a,progressive
a,prolonged
a,proper
a,proportional
a,proud
a,provincial
a,public
a,pure
a,pure
a,qualified
a,quantitative
a,quiet
a,quiet
a,racial
a,random
a,rare
a,rational
a,raw
a,ready
a,real
a,real
a,realistic
a,reasonable
a,reckless
a,regional
a,regular
a,related
a,related
a,relative
a,relevant
a,reliable
a,religious
a,representative
a,resident
a,residential
a,respectable
a,responsible
a,restless
a,restricted
a,retired
a,revolutionary
a,rich
a,right
a,romantic
a,rotten
a,rotten
a,rough
a,round
a,rural
a,sacred
a,sad
a,safe
a,satisfactory
a,satisfied
a,scientific
a,seasonal
a,seasonal
a,secondary
a,secular
a,secure
a,senior
a,sensitive
a,separate
a,serious
a,sexual
a,shallow
a,shallow
a,sharp
a,short
a,short
a,shy
a,sick
a,similar
a,single
a,single
a,skilled
a,slippery
a,slow
a,small
a,smart
a,smooth
a,social
a,socialist
a,soft
a,soft
a,soft
a,solar
a,solid
a,solid
a,sophisticated
a,sound
a,sour
a,spatial
a,specified
a,spontaneous
a,square
a,stable
a,standard
a,statistical
a,steady
a,steep
a,sticky
a,muggy
a,still
a,straight
a,straight
a,strange
a,strategic
a,strict
a,strong
a,strong
a,strong
a,strong
a,structural
a,stubborn
a,stunning
a,stupid
a,subjective
a,subsequent
a,successful
a,sudden
a,sufficient
a,superior
a,supplementary
a,surprised
a,surprising
a,sweet
a,sympathetic
a,systematic
a,talented
a,talkative
a,tall
a,tasty
a,technical
a,temporary
a,tender
a,tender
a,tense
a,tense
a,terminal
a,thick
a,thick
a,thin
a,thirsty
a,thoughtful
a,tidy
a,tight
a,tired
a,tolerant
a,tough
a,tough
a,toxic
a,traditional
a,transparent
a,trivial
a,tropical
a,true
a,typical
a,ugly
a,ultimate
a,unanimous
a,unaware
a,uncomfortable
a,uneasy
a,unemployed
a,unexpected
a,unfair
a,unfortunate
a,uniform
a,unique
a,global
a,unlawful
a,unlike
a,unlikely
a,unpleasant
a,urban
a,useful
a,useless
a,usual
a,vacant
a,vague
a,vain
a,valid
a,valuable
a,varied
a,verbal
a,vertical
a,viable
a,vicious
a,vigorous
a,violent
a,visible
a,visual
a,vocational
a,voluntary
a,vulnerable
a,warm
a,warm
a,weak
a,weekly
a,welcome
a,well
a,wet
a,white
a,white
a,whole
a,wild
a,wild
a,wise
a,written
a,wrong
a,wrong
a,young
n,abbey
n,ability
n,abortion
n,absence
n,absorption
n,absorption
n,absorption
n,abuse
n,abuse
n,academy
n,accent
n,acceptance
n,access
n,access
n,accident
n,accident
n,account
n,account
n,accountant
n,accumulation
n,achievement
n,acid
n,acquaintance
n,acquaintance
n,acquisition
n,act
n,act
n,action
n,action
n,action
n,activity
n,addition
n,addition
n,address
n,administration
n,administrator
n,admiration
n,admission
n,admission
n,adoption
n,adult
n,advance
n,advantage
n,adventure
n,advertising
n,advice
n,adviser
n,advocate
n,affair
n,affinity
n,affinity
n,afternoon
n,age
n,old,age
n,age
n,agency
n,agenda
n,agent
n,agent
n,agony
n,agreement
n,agriculture
n,aid
n,AIDS
n,air
n,aircraft
n,airline
n,airport
n,aisle
n,alarm
n,alarm
n,alarm
n,album
n,album
n,alcohol
n,allocation
n,allowance
n,ally
n,ally
n,altar
n,aluminium
n,amateur
n,ambiguity
n,ambition
n,ambulance
n,amendment
n,analogy
n,analysis
n,analyst
n,angel
n,anger
n,angle
n,angle
n,animal
n,ankle
n,anniversary
n,announcement
n,answer
n,ant
n,anticipation
n,anxiety
n,apathy
n,apology
n,apparatus
n,appeal
n,appeal
n,appearance
n,appendix
n,appendix
n,appetite
n,apple
n,applicant
n,application
n,application
n,appointment
n,approval
n,aquarium
n,arch
n,architecture
n,archive
n,area
n,arena
n,argument
n,arm
n,armchair
n,army
n,arrangement
n,arrow
n,arrow
n,art
n,article
n,artist
n,ash
n,aspect
n,assault
n,rape
n,assembly
n,assembly
n,assertion
n,assessment
n,assessment
n,asset
n,assignment
n,association
n,association
n,association
n,assumption
n,assurance
n,asylum
n,athlete
n,atmosphere
n,atmosphere
n,atom
n,attachment
n,attachment
n,attack
n,attack
n,attention
n,attic
n,attitude
n,attraction
n,attraction
n,attraction
n,auction
n,audience
n,auditor
n,aunt
n,authority
n,authority
n,autonomy
n,avenue
n,average
n,aviation
n,award
n,axis
n,baby
n,back
n,back
n,background
n,background
n,background
n,bacon
n,suitcase
n,bag
n,bail
n,balance
n,balance
n,balance
n,balcony
n,ball
n,ball
n,ball
n,ballet
n,balloon
n,ballot
n,ban
n,banana
n,band
n,band
n,band
n,band
n,bang
n,bank
n,bank
n,bankruptcy
n,banner
n,bar
n,bar
n,bar
n,bar
n,bark
n,barrel
n,barrel
n,barrier
n,base
n,base
n,base
n,baseball
n,basin
n,basis
n,basket
n,basketball
n,bat
n,bathtub
n,bathroom
n,battery
n,battery
n,battle
n,battlefield
n,bay
n,beach
n,beam
n,beam
n,bean
n,bear
n,beard
n,beat
n,bed
n,bed
n,bedroom
n,bee
n,beef
n,beer
n,beginning
n,behavior
n,belief
n,bell
n,belly
n,belt
n,bench
n,bench
n,beneficiary
n,benefit
n,benefit
n,berry
n,bet
n,Bible
n,motorcycle
n,bill
n,bill
n,bin
n,biography
n,biology
n,bird
n,birthday
n,biscuit
n,bishop
n,bitch
n,bitch
n,snack
n,bite
n,black
n,blackmail
n,blade
n,blade
n,blast
n,block
